,회사,공고제목,주소,경력,기술
0,미트박스글로벌,JAVA 개발자,서울 강남구,경력 2-10년,"유관경력2년이상보유하신분•Springframework,MyBatis기반개발경험이있는분•Javascript등Front, end에대한이해와개발경험이있는분"
0,롱기스트,프론트엔드 개발자 (2년 이상),서울 광진구,경력 2-5년,2년이상의유관경력이있는분•Typescript기반의React개발경험을보유하신분•Socket.io활용경험이있으시거나활용이가능하신분
0,마야크루,프론트엔드 개발자,서울 마포구,경력 2-5년,"︎이런분과함께하고싶어요, 프론트엔드개발경력(2~5년차), HTML5,CSS3기본지식및마크업능력이있으신분, RESTAPI를활용한Web개발경험이있으신분, React,ReactNative에대한이해도가높고,개발경험이있으신분, TypeScript사용에능숙하며개발경험이있으신분, Git등의분산버전관리시스템사용이능숙하신분"
0,미트박스글로벌,Process Engineer,서울 강남구,경력 5-10년,Git/Jira사용경험•Jenkins를이용한빌드/통합경험•1가지이상프로그래밍언어를활용한개발경험•LinuxOS에솔루션구축경험
0,플랫브레드,JAVA 개발자(5년 이상),서울 송파구,경력 5-10년,"자격요건]•학력:무관•경력:5년이상[필수지식/경험]•Java,SpringBoot,MyBatis•RDMS(MySql)테이블분석및설계•Docker,Git,Jenkins"
0,티엠알파운더스,[태그히어] 프론트엔드 개발자 (5년 이상),서울 강남구,경력 5-10년," React사용경험이있으신분, HTML,CSS,JavaScript,Typescript에대한깊은이해가있으신분, 프론트엔드개발및운영경험5년이상,혹은이에준하는역량을보유하신분"
0,루와콘텐츠그룹,프론트엔드개발자,서울 구로구,경력 3-15년,"3년이상의프론트개발경력,또는그에준하는역량보유•Typescript를이용한개발경험•디자인시스템또는재사용이가능한컴포넌트개발에대한이해가있으신분•ContextAPI,Recoil,Zustand,Jotai등의상태관리패턴에대한이해및경험.•Webview(In, App)개발경험Typescript를이용한개발경험•디자인시스템또는재사용이가능한컴포넌트개발에대한이해가있으신분•ContextAPI,Recoil,Zustand,Jotai등의상태관리패턴에대한이해및경험.•Webview(In, App)개발경험"
0,오토위니,JAVA 개발자 (5년 이상),서울 강남구,경력 5-15년,"Java,SpringFramework기반실무개발경력5년이상•주도적으로백엔드아키텍쳐를설계해본경험이있으신분•AWS등클라우드환경에서서비스개발/운영경험이있으신분•유저가겪는문제점을찾고기술로해결하는데관심있으신분"
0,롱기스트,프론트엔드 개발자 (2년 이상),서울 광진구,경력 2-5년,2년이상의유관경력이있는분•Typescript기반의React개발경험을보유하신분•Socket.io활용경험이있으시거나활용이가능하신분
0,아이디에스앤트러스트,제약 IT솔루션 개발자 (3년 이상),서울 강남구,경력 3-10년,Java개발경력3년이상·Spring및SpringBoot프레임워크실무경험보유자·RESTfulAPI클라이언트개발능력을보유하신분·PostgreSQL및기타RDBMS에대한경험을보유하신분·LInux사용경험을보유하신분
0,아이엠에스커넥트,FMS(차량관제)플랫폼 프론트엔드 개발(웹/앱 UI) 4년 이상,서울,경력 4-8년,"웹프론트엔드개발4년이상경험이있으신분•HTML(5),CSS,Javascript(ES6)기본지식을보유하신분•SinglePageApplication개발경험이있으신분•애니메이션및인터렉션등UI/UX의디테일에대한욕심이있으신분"
0,피트릭스,프론트엔드 개발자,서울 강남구,경력 3-8년,최소3년이상의Front개발경험을갖추신분이필요해요.•다양한동료들과협업하여프로젝트를성공시킨경험을갖추신분이필요해요•Nextjs로상용화서비스를직접개발하여서비스에적용시켜본경험이있으신분이필요해요•Git등분산버전관리시스템에능숙하신분이필요해요•테스트및배포자동화를시스템을구축하신분이필요해요.•다양한장애환경을능숙하게대응하실수있는분이필요해요.
0,누벤트,서비스 백엔드 개발자 (node.js) (4년 이상),서울 강남구,경력 4-10년," Node.js를이용한서버개발구축경험, 하나이상의RDBMS,NoSQL사용경험, RESTfulAPI에대한기본적인이해, AWS환경에서개발및운영경험, 백엔드개발관련경력4년이상"
0,세이프에이아이,[AI R&D] Back-end Engineer,서울 강남구,경력 3-10년,"새로운기술과최신트렌드를공부하는것을즐기시는분•원활한커뮤니케이션으로협업에적극적으로참여하실수있는분•DataStructure,OOP,Algorithm등ComputerScience에대한기초지식을보유하신분•Express,Spring,Django등의프레임워크를활용한서버개발경험이있으신분•Mysql,MongoDB등을활용한데이터베이스설계및관리경험이있으신분•Docker사용경험이있으신분•Git을통한협업이가능하신분"
0,위시빈,Web Back-End개발자[7년 이상],서울 강남구,경력 7-15년,"이런분과함께하고싶어요, Linux,Nodejsframework기반웹서비스개발경험, RestAPI개발경험, MySQL및MongoDB경험자, 웹Frontend개발을위한기초지식(Html,css,javascript), 쿠버네티스/Docker경험, AWS및cloud환경을통한개발경험자, Git을통한형상관리"
0,이폼웍스,[전자계약] 플랫폼 서버개발 및 기술 운영 (5년 이상),서울 강남구,경력 5-8년,"서버개발실무경력5년이상이신분•nodejs또는nestjs서버실무개발경험있으신분•RDB와MongoDB설계및개발이가능하신분•AWS환경에서서비스설계,운영이가능하신분•탄탄한컴퓨터사이언스지식이있으신분"
0,소프트베리,EVI Backend / 서버 개발,서울 서초구,경력 2-10년," 2년이상의백엔드시스템개발경험을가졌거나,이에준하는실력을보유하신분, PHP,RDBMS사용에능숙하신분, AWSCloud에서서버개발경험가시신분, EventDriven프로그래밍경험가지신분, RESTfulAPI에대한이해와개발경험이있으신분, node.jstypescript"
0,데일리샷,백엔드 개발자(3년 이상),서울 강남구,경력 3-7년,"자격요건], 3년이상의Python을이용한백엔드개발업무경험이있으신분, 클라이언트와협업경험(RESTfulAPI등)이있으신분, DjangoFramework에대한이해도가있으신분, GitHub을통해개발및협업가능하신분, 피드백을주거나받는것에거리낌이없으신분, 문서화를기반으로한정보공유및소통을지향하시는분, 코드리뷰와테스트코드작성을중요하게생각하시는분"
0,스페클립스,중급 풀스택 개발자,경기 성남시,경력 4-7년,"공학계열전공자(컴퓨터공학,수학,통계학등)•Backend프레임워크활용및개발경력4년이상~7년이하•JAVA언어로작성한SpringBoot기반웹어플리케이션개발경력2년이상•Frontend, framework(VUE,REACT등)프레임워크를이용한개발이익숙하신분•AWS클라우드환경경험자/Git등형상관리시스템사용경험자＜기술스택＞VUE,JAVA,SpringBoot,Git,Docker,JWT,mariaDB,AWS,swift"
0,크라우드웍스,E-Learning 서비스 개발팀장,서울 강남구,경력 7-15년," FullStack개발역량을보유하신분, Java/Springboot를활용한개발경험을7년이상해보신분, Vue.js를활용한개발경험을2년이상해보신분, My, SQL를비롯하여2개이상의Database사용을경험해보신분, Redis또는그에준하는MemoryDB사용을경험해보신분, Container(Docker)관련지식및운영경험을보유하신분"
0,알고케어,프론트엔드 개발자,서울 중구,경력 3-5년,"ReactNative를사용한프로덕션개발경험3~5년내외•상태관리라이브러리React, Query,Recoil,Jotai중하나이상능숙하신분•부드럽고막힘없는사용자경험을최우선으로생각하는분•다양한직군의동료들과매끄럽게의사소통하는것을중요하게여기는분"
0,미트박스글로벌,Cloud Engineer,서울 강남구,경력 2-7년,"CloudInfra(aws,gcp,azure,ncp등)사용/구축경험•helmchart,argoCD이용한컨테이너빌드/배포경험•수행업무에오픈소스SW적용경험(운영및troubleshooting등)•LinuxOS에솔루션구축경험"
0,팹(PAP),[시크] Java / Kotlin 백엔드 개발자,서울 서초구,경력 7-10년,"백엔드개발7년이상경험있으신분•Java/Kotlin프로그래밍언어전문성을보유하신분•SpringBoot(SpringMVC,SpringDataJPA)을통한개발경험이있으신분•Git,Docker,GithubAction,Gradle등사용에어려움이없으신분•AWS(S3,CloudFront,lambda,SQS,Glue)경험있으신분[팹기술스택], Nest.js(Deprecated), Kotlin,Gradle, SpringBoot(SpringMVC,SpringDataJPA), JPA/Hibernate,MySQL(Aurora),Redis,Elasticsearch, Elasticbeanstalk(Docker), AWS(S3,CloudFront,lambda,SQS,Glue), Git,Docker,GithubAction"
0,딥세일즈,백엔드 개발자 (파이썬/3년 이상),서울 강남구,경력 3-10년,"RDBMS환경에서DB스키마를설계·검색서비스개발,최적화·Node.jsBackend개발및운용,유지관리·AWS기반의MSA구조Node.js개발및서비스간의node모니터링및트랜잭션유지관리·AWS,GCP등클라우드환경운영경험·Hadoop과Spark경험"
0,인테그리틱스,백엔드 개발자 (3년 이상),경기 성남시,경력 3-5년,3년이상의Web개발경험을보유하신분•NestJS+TypeScript기반으로백엔드서버개발경험이있으신분•원만한커뮤니케이션및협업능력을갖추신분
0,마켓디자이너스,[튜터링] 프로덕트 소프트웨어 엔지니어(4년 이상),서울 강남구,경력 4-10년,"이런분을찾고있어요!＞•학력:초대졸이상•경력:4~10년•React와Next.js에대한이해도가높으신분•Frontend개발경력4년이상이신분•Typescript개발에능숙하신분•웹뷰개발에익숙하신분•디자인시스템을기반으로컴포넌트라이브러리를개발한경험이있으신분※근무형태:정규직(3, 6개월시용기간후,정규직전환여부검토)"
