기업명,주소,직무,직급,이용하는 기술스택,우대사항,해당 페이지 URL,자격요건
인프랩 (인프런),경기 성남시 분당구 대왕판교로 660 유스페이스1 1A 동 4층 405호,"120만 회원, 누적 4,800만 학습 수의 데이터를 바탕으로 학습자에게 더 높은 가치를 제공합니다.",미들 (4~8년),"['SQL', 'Python', 'Tensorflow', 'Keras', 'Google Cloud Platform', 'AWS', 'scala', 'Java', 'ubuntu', 'Linux']","• 개인화 추천 모델 기획부터 개선까지 실제 서비스 운영 경험을 보유하신 분
• PB 또는 TB급 이상의 데이터에 대하여 데이터 분석 또는 AI 모델 분산 학습 경험을 보유하신 분",https://www.rallit.com/positions/1961/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B0%80,"• 관련 실무 경험 5년 이상 보유하신 분
• 통계 전공 학사 이상 또는 통계 분석 실무 경력 3년 이상
• 어렵고 복잡한 문제를 SQL를 사용하여 효율적으로 해결할 수 있는 실력을 보유하신 분
• 데이터 엔지니어와 협업하여 다양한 문제를 해결한 경험을 보유하신 분 

[서류는 이렇게 작성해주세요.]
• (필수) 이력서 
• (필수) 포트폴리오 : 포트폴리오 제출이 어려우신 분은 과제를 선제출 해주세요. 
• (선택) Github 주소
• 진행한 업무 중 임팩트 있었던 프로젝트를 구체적으로 적어주세요. 팀으로 진행한 업무라면 본인의 기여도를 함께 작성해주세요. 문제를 해결하면서 기여한 부분, 새롭게 시도한 부분, 얻게 된 인사이트 등을 구체적으로 작성할 수록 좋아요.
• 가장 의미있는 통계 프로젝트에 대해 알려주세요. 문제 정의, 문제 해결 과정, 분석 과정에 대한 설명, 데이터 분석과 결과 도출 과정을 구체적으로 기술해주세요.
• 데이터를 기반으로 개선한 경험이 있다면 결과를 수치로 알려주세요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외해 주세요)"
사이벨 헬스 (주),,"의료 데이터를 전송, 처리, 저장하는데 사용될 안전한 클라우드 인프라를 설계하고 개발 및 유지관리를 맡을 클라우드 엔지니어를 모집합니다. ※ 영문 이력서/포트폴리오로 제출요망",미들 (4~8년),"['Python', 'AWS', 'React', 'JavaScript', 'Git', 'CI/CD', 'Shell Script', '영어', 'MySQL', 'SQL']","- DevOps 및 CI/CD, 프레임워크에 대한 숙련도가 있으신 분
- 하나 이상의 인턴십, 협력 경험 또는 직무 경험이 있으신 분
- ReactJS, Angular 또는 Vue 등 Javascript 기반 프레임워크 경험",https://www.rallit.com/positions/808/sibel-health-%EC%82%AC%EC%9D%B4%EB%B2%A8%ED%97%AC%EC%8A%A4-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%B0%B1%EC%97%94%EB%93%9C-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%B1%84%EC%9A%A9-%EA%B2%BD%EB%A0%A5,"- 컴퓨터 전공 관련학과 학사 이상
- 영어 회화 및 문서작업 가능자 (Spoken and written English proficiency)
- 웹 서비스, API 및 RESTful 서비스에 대한 이해도가 있으신 분
- SQL, NoSQL 등 관련 지식 보유 및 DB 설계/개발 경험
- Python, Javascript 프로그래밍 언어에 익숙하신 분
- 클라우드 컴퓨팅에 대한 이해도가 있으신 분
- AWS 같은 클라우드 컴퓨팅 서비스 기반 개발 경험"
빅웨이브로보틱스(주),서울 강남구 역삼로 542 신사에스앤지 4층,마로솔 SOLlink는 글로벌 최다 다종•이종 로봇 통합관제시스템으로 세상의 모든 로봇의 연결을 목표로 하고 있습니다. SOLlink 개발의 주역이 되어주세요!,미들 (4~8년),"['AWS', 'Kotlin', 'devops', 'Redis', 'Linux', 'JUnit', 'Firebase', 'Flutter', 'React', 'GitHub']","• 로봇과 로봇을 사용한 서비스 및 알고리즘 개발에 관심 있는 분
• 하드웨어-소프트웨어-통신 전반의 시스템 이해 및 설계 능력
• modbus, serial, TCP/UDP 등 디바이스간 통신에 대한 경험이 있으신 분
• FastApi 활용 개발 경험이 있는 분
• 통합 관제 및 운영 플랫폼 개발 경험이 있으신 분
• 프로토콜 수립 및 메세지/데이터 표준화에 경험이 있는 분
• AWS Certification Associate 이상 자격 보유
• 빅데이터 처리 및 활용 서비스 개발/운영 경험",https://www.rallit.com/positions/2051/%EB%A1%9C%EB%B4%87-%ED%86%B5%ED%95%A9-%EA%B4%80%EC%A0%9C-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-5%EB%85%84-%EC%9D%B4%EC%83%81,"• 경력 : 5년이상 
• AWS 클라우드 환경에서의 서비스 구축
• Redis 등 비동기 Pub/Sub 처리 시스템 설계 경험
• RESTful 백엔드 API 개발에 대한 충분한 경험이 있으신 분
• WebSocket 등 웹기반 통신방법에 대해 충분한 경험이 있으신 분
• Docker/Kubernetes, ECS/EKS 등 활용 경험 있으신 분
• Kafka, BigQuery 등 대용량 데이터 처리 시스템 설계 경험이 있으신 분
• CI/CD를 활용한 소프트웨어 빌드 및 배포에 능숙하신 분
• 오픈소스 기반 웹, API 형태의 개발 경험이 충분히 있으신 분
• MSA 기반 시스템 개발 경험"
패스트뷰,서울 강남구 강남대로 364 미왕빌딩 12층,DevOps Engineer (3년 이상),미들 (4~8년),"['AWS', 'bitnami', 'Shell Script', 'PHP', 'Python']","• AWS 환경에서 다양한 서비스를 처음부터 끝까지 구축하고 운영한 경험이 있으신 분
• CloudWatch, Datadog 등 Observability 플랫폼 구축 및 운영 경험이 있으신 분
• Cloud Formation Terraform 등 IaC 경험이 있으신 분
• 기존 사용 기술의 문제점과 대체 도구 발견 또는 개발에 능숙하신 분",https://www.rallit.com/positions/1771/devops-engineer-3%EB%85%84-%EC%9D%B4%EC%83%81,"• AWS 기반 인프라 설계 및 운영 경험을 보유하신 분 (최소 3년 이상)
• bitnami 워드프레스 (또는 php기반 웹 서비스) 운영 경험 보유자
• 스크립트 코딩 역량 보유 (Shell script, Python 등)"
브레이브모바일 (숨고),서울 강남구 테헤란로 415 L7 HOTELS 강남타워 L7 강남타워 5층,"1,000만이 선택한 생활 서비스 매칭 플랫폼 숨고, 우리와 함께할 용감한 동료를 찾습니다.",미들 (4~8년),"['AWS', 'Kubernetes', 'Docker', 'Prometheus', 'grafana']","• 고가용성을 위해 다양한 전략으로 신뢰성을 확보하신 분
• 주도적으로 문제를 정의하고, 해결 방안을 도출하시는 분
• MSA 환경에서 서비스 개발 및 운영 경험이 있으신 분
• 애플리케이션에 대한 트러블슈팅, 성능 분석 경험이 있으신 분
• 서비스 보안 관점에서 AWS, Kubernetes를 고민하고 적용해 보신 분
• Golang, Python, bash script 등 1가지 이상의 프로그래밍 언어를 능숙하게 다루시는 분",https://www.rallit.com/positions/1567/%EC%88%A8%EA%B3%A0-sre-site-reliability-engineer,"• 5년 이상의 SRE 경험이 있거나 이와 유사한 시스템 운영 경험이 있으신 분
• 성능 테스트로 서비스를 분석하고 개선해 본 경험이 있으신 분
• AWS Cloud, Kubernetes 환경에서 서비스를 운영하며 모니터링한 경험이 있으신 분
• 대용량 트래픽에서 서비스 운영 및 트러블 슈팅을 한 경험이 있으신 분"
효성에프엠에스,서울 강남구 광평로 281 수서빌딩 5층,효성에프엠에스에서 백엔드 개발자를 채용하고 있습니다.,미들 (4~8년),"['Python', 'AWS', 'TDD']","""• Python과 Python Framework (Django / Flask 등)를 이용한 백엔드 서버 개발 경험 있으신 분
• 대규모 서비스의 설계, 개발 및 유지보수 경험이 있으신 분
• 테스트 자동화 또는 TDD 경험이 있으신 분
• 이종간 프로그램언어로 작성된 서비스를 개발하거나 운영해본 경험이 있으신 분
• 프로젝트 및 팀 리딩 경험이 있으신 분
• NoSQL를 이용한 대용량 데이터 처리 설계/개발 경험이 있는 분
• 마이크로서비스 아키텍쳐 개발 경험이 있는 분
  - Kubernetes, Docker를 활용한 서비스 운영 경험
  - Git 등의 분산버전관리시스템 사용에 능숙하신 분
  - Jira, Confluence, Slack 등의 툴을 이용한 협업 및 커뮤니케이션 경험을 가지신 분
""",https://www.rallit.com/positions/1290/%ED%9A%A8%EC%84%B1%EC%97%90%ED%94%84%EC%97%A0%EC%97%90%EC%8A%A4-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90%EC%B1%84%EC%9A%A9,"""<필수 요건>
• 백엔드 개발 경력 7년 이상 또는 그에 준하는 실력을 갖추신 분
• 소프트웨어 아키텍처 또는 서비스 인프라 설계 가능하신 분
• 주도적으로 AWS 환경에서 개발 및 운영 경험이 있으신 분
• 웹서비스 API에 대한 이해가 있으신 분
• (언어 무관) 서버 사이드 Framework에 대한 깊이 있는 이해가 있으신 분
• RDBMS 설계 및 운영 경험이 있으신 분
• CI & CD 를 구축하거나 운영해본 경험이 있으신 분
"""
주식회사 유니유니,경기 성남시 분당구 판교로289번길 20 판교테크노밸리 스타트업 캠퍼스 2동 5층,"전반적인 개발 리드를 맡아주실 분을 모집하고 있습니다.
많은 지원 바랍니다!",미들 (4~8년),"['Java', 'React', 'Github', 'Node.js', 'AWS']","- 개발 방법론 (Agile, CBD 등)을 프로젝트 진행에 적용 경험이 있으신 분
- 개발 협업 툴 환경을 구축/관리 해본 경험이 있으신 분 (Figma, Jira, Trello, Teams)
- 서비스 초기 기획부터 구축, 운영, 모니터링까지 참여한 경험이 있는 분
- 본인이 맡은 업무를 끝까지 책임지고 수행할 수 있는 분
- 스스로 학습 및 몰입하고, 강한 실행을 보여주실 수 있는 분
- 기존 방식보다 효율적인 방법을 고민하고 개선하는 것을 좋아하시는 분
- CI/CD를 통해 테스트/빌드/배포 경험이 있으신 분
- 웹성능 최적화 경험이 있으신 분
- 연구개발 책임자 수행 가능하신 분",https://www.rallit.com/positions/1796/%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC-%EC%9C%A0%EB%8B%88%EC%9C%A0%EB%8B%88-%EA%B0%9C%EB%B0%9C-%EB%A6%AC%EB%93%9C-%EC%B1%84%EC%9A%A9,"- 개발 경력 5년 이상이며, 기업 내 IT 조직 및 스타트업에서 Team lead 이상을 맡아보신 분
- 프로젝트 추진을 위해 문제점 진단 및 정의, 해결방안 또는 대안 제시가 가능하신 분
- 웹/앱/서버 등 개발 업무 전반에 대한 이해도가 높으신 분
- 팀플레이를 즐기고, 긍정적이고 적극적으로 커뮤니케이션하는 분
- 기획 / 디자인 등 다양한 직군과의 원만한 커뮤니케이션 및 협업이 가능하신 분
- 새로운 기술에 관심이 많고 꾸준히 스스로 학습 하시는분
- AWS 경험이 있으신 분"
와탭랩스,서울 서초구 서초대로77길 17 BLOCK77 13층 1303호,와탭랩스 솔루션 컨설팅팀에서 함께 할 분을 찾고있습니다.,미들 (4~8년),"['Java', 'AWS', 'Kubernetes']","• 프리세일즈 경험자 우대
• 모니터링 제품 경험자(Whatap, Datadog, NewRelic, 제니퍼, 엑셈 등) 우대
• 쿠버네티스 자격증 소지자 우대
• AWS 자격증 소지자 우대",https://www.rallit.com/positions/1304/%EC%86%94%EB%A3%A8%EC%85%98-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-it-%EC%84%B1%EB%8A%A5-%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8,"• 관련 경력 3년 이상
• 원활한 대인 관계 및 커뮤니케이션 능력을 보유한 분
• 책임감과 성실성을 갖추신 분
• IT 트렌드에 따른 기술 습득에 거부감이 없으신 분

아래 조건 중 한 가지 이상 만족하시는 분
• APM(Application Performance Management) 사용 경험
• Kubernetes 사용 경험
• WEB/WAS 사용, 운영 경험
• DB 백업 및 복구, 모니터링, 운영 등의 기술 보유
• Application (Java, Go, Node.js, Python, PHP, .NET) 개발 경험

※ 신입의 경우 위 기술에 대해 설명 가능한 분"
런치팩 주식회사,서울 강남구 역삼로 175 현승빌딩 팁스타운 S3 4층 B호,"개발자 없이 창업할 수 있는 세상을 향해 도전하는 런치팩에서,
본인만의 전문 분야를 구축한 스페셜리스트를 꿈꾸는 시니어 프론트엔드 개발자를 찾습니다!",미들 (4~8년),"['Vue.js', 'AWS', '플랫폼 비즈니스']","이런 관심/경험은 마음껏 어필해 주세요!
- 웹 기반 UI Editor 개발 경험
- Vue.js 프로젝트 실무 개발 경력 1년 이상
- Django, Node.js 등 백엔드 개발 경험
- AWS 인프라 구축 경험
- UI/UX에 대한 관심
- 플랫폼 서비스를 개발/운영해 본 경험
- 프론트엔드 프로젝트 체계화에 대한 관심",https://www.rallit.com/positions/1016/%EB%9F%B0%EC%B9%98%ED%8C%A9-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%8B%9C%EB%8B%88%EC%96%B4,"이런 분이 필요합니다.
- 프론트엔드 개발 경력 3년 이상 보유하고 계신 분
- 상용 서비스 개발/운영 경험이 있으신 분
- Vue.js 프로젝트 개발 경험이 있으신 분
- 반응형 웹 개발 경험이 있으신 분

저희와 핏이 잘 맞을 수 있는 분들의 유형이에요.
- 개발자 없이 웹서비스 구현이 가능한 세상에 기여하고 싶으신 분
- 스타트업 창업에 관심이 높거나, 실제로 창업을 시도하고 초기 허들을 경험한 분
- 팀원들과 함께 소통하며 문제를 해결해 나갈 수 있으신 분
- 문제를 인식하고 해결하는 데 있어 주도적으로 일하는 것을 편하게 느끼시는 분"
(주)라텔앤드파트너즈,서울 중구 필동로 16 참그루 참그루빌딩 2층,"라텔앤드파트너즈는 2020년에 설립한 회사로 매출액 33억원, 사원수 33명 규모의 중소기업입니다. 
서울 중구 필동로16(참그루빌딩)에 위치하고 있습니다.",시니어 (9년 이상),"['Python', 'Spring', 'AWS', 'Git', 'iOS', 'HTML/CSS']",• ISMS 경험이 있는 분,https://www.rallit.com/positions/1934/dba-%EA%B2%BD%EB%A0%A5,"• MSSQL 사용 경력
• 5년 이상의 DBA 경험
• 데이터베이스 인덱스에 대한 이해
• 데이터베이스 성능 분석 및 튜닝에 대한 경험"
21세기전파상,서울 서초구 강남대로53길 8 스타크 강남빌딩 6층 2호,21세기전파상의 Next Tech Device Commerce 플랫폼을 만들어나갈 백엔드 엔지니어를 모십니다!,미들 (4~8년),"['Git', 'Github', 'MySQL', 'SQL', 'React', 'React Native', 'JavaScript', 'Node.js', 'AWS']","• 백엔드 실무 경험 3년 이상
• 로드 밸런싱 및 서버 부하 조절 경험이 있으신 분
• 커머스 또는 O2O 개발 경험이 있으신 분
• 풀스택 개발이 가능하신 분
• 초기 스타트업에서 주도적인 역할을 담당하였거나 창업 경험이 있으신 분",https://www.rallit.com/positions/677/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,"• Git 사용 및 전반적인 소스 CI/CD 경험자
• Node.js express Nest.js Framework 개발 경험이 있으신 분 
• RESTful API구축 및 설계 경험이 있으신 분
• 외부 rest api 연동 및 Oauth2 기본 개념을 가지고 있으신 분 
• CentOS 및 클라우드 컴퓨팅 서버(AWS, NCP)관련한 지식이 있으신 분"
중고나라,서울 서초구 서초대로 301 동익성봉빌딩 7층,국내 최대 중고거래 플랫폼 중고나라의 클라우드 기반 서비스 인프라 설계와 AWS 운영을 담당해주실 SRE DevOps 엔지니어를 모시고 있습니다!,미들 (4~8년),"['AWS', 'Kubernetes', 'Terraform', 'helm', 'GitHub', 'Docker', 'container', 'devops', 'cloud-computing', 'CI/CD']","클라우드 서비스(GCP GKE etc) 실무 경험 보유
서비스, 인프라 모니터링에 대한 이해가 있으신 분
스크립트 (Shell, Python) 작성 및 활용이 가능한 분
C2C거래 또는 플랫폼 서비스에 관심이 많은 분",https://www.rallit.com/positions/1838/sre-devops-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EA%B2%BD%EB%A0%A5,"3년 이상 또는 이에 준하는 경력을 가지신 분
AWS Cloud, Kubernetes 경험이 있으신 분
Service Mesh에 대한 이해
Terraform, Helm 기반의 IaC 실무 경험이 있으신 분
도커, 컨테이너 서비스에 대한 이해
CI/CD 파이프라인 구축 및 운영 경험"
테이퍼랩스,서울 강남구 역삼로 180 MARU 180 3층,Tape(https://www.tape.ooo) 플랫폼 백엔드 개발,경력무관,"['AWS', 'Lambda', 'Node.js', 'Elasticsearch', 'openai', '인공지능(AI)', 'NLP']","우대사항
- 원격 근무 및 SaaS에 대한 관심 및 경험 보유자
- OpenAI API, LangChain 등에 대한 관심 및 개발 경험
- Node.js Web Framework에 대한 이해도 및 경험
- Amazon Web Services(Lambda, EC2, S3, CloudFront 등)에 대한 이해도 및 경험
- Database 설계 및 최적화에 대한 이해도 및 경험
- Elastic Search 등 엔진, 라이브러리 기반 검색 시스템 구축 경험
- Cloud 비용 최적화 경험 보유자
- 대용량 트래픽 분산 처리 아키텍쳐에 대한 이해",https://www.rallit.com/positions/158/backend-engineer,"자격요건
- 컴퓨터 공학 등 전공자 또는 3년 이상 현업 경험자"
(주)엔블리스컴즈,서울 동작구 노량진로 10 여성가족복합시설 스페이스살림 503호,위싱노트의 서비스를 설계하고 개발하며 운영합니다.,미들 (4~8년),"['AWS', 'MySQL', 'Spring Boot', 'Back-End', 'Web API']","- 컴퓨터공학 및 공학 관련 계열을 전공하신 분
- 다양한 백엔드 개발 경력을 보유하신 분
- 웹 및 서버 보안에 대한 이해도를 가지신 분
- 글로벌 서비스 경험이 있으신 분
- 서비스를 운영하는 스타트업 경험이 있으신 분
- 소프트웨어 품질, 생산성을 합리적으로 생각하고 해결이 가능하신 분",https://www.rallit.com/positions/305/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C%EC%9E%90,"- 필요한 업무 기술의 경험과 이해도가 높으신 분
- 웹 서비스에 대한 이해와 책임감이 있으신 분
- 코드 리뷰에 긍정적이고, 원활한 커뮤니케이션이 가능하신 분
- 다양한 직군의 동료들과 협업하여 문제를 파악하고 해결할 수 있는 분
- 유저가 겪는 문제점을 찾고 기술로 해결하는 일에 관심 있는 분"
(주)지냄,서울 강남구 도산대로 458 청담 한국빌딩 5층 지냄,안녕하세요. (주)지냄 플랫폼 개발팀에서 백엔드 개발자를 모십니다.,미들 (4~8년),"['Node.js', 'TypeScript', 'PostgreSQL', 'MySQL', 'NestJS', 'Redis', 'TypeORM', 'Docker', 'AWS', 'github-actions']","- 보여주실만한 Github Repository가 있으신 분
 - Nest.js 개발 경험이 있으신 분
 - DevOps, Docker, KBS 등에 관심이 많으신 분
 - 테스트 코드 및 배포 자동화(CI/CD) 작성 경험이 있으신 분
 - 리팩토링과 코드 리뷰를 즐겨 하시는 분",https://www.rallit.com/positions/2240/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,"- 백엔드 개발 실무 경력 4년 이상이거나 그에 준하는 역량을 보유하신 분
- Node.js를 이용한 백엔드 개발 경험이 있으신 분
- TypeORM, Prisma, Sequelize 등 ORM을 활용한 개발 경험이 있으신 분
- Restful API 개발 및 설계를 해보신 분

[요구 기술 스택입니다👌]
Node.js, Nest.js
TypeScript
PostgreSQL, MySQL
Redls
TypeORM
Docker
AWS
Git / Github Action (CI/CD)
Swagger
Jest, Mocha
Websotrm, Datagrip"
럽맘,"서울 강서구 공항대로 247 퀸즈파크나인 퀸즈파크나인 C동 711호, 712호",Django 백엔드 개발자 팀장급 채용,주니어 (1~3년),"['Django', 'FastAPI', 'MySQL', 'Google Cloud Platform', 'Azure', 'AWS']","- 다양한 프레임워크를 과감하게 도전해보실 분

- 팀 운영을 해보고 싶으신 분

- 신규 개발자 양성에 관심이 많으신분",https://www.rallit.com/positions/2130/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-django-%ED%8C%80%EC%9E%A5%EA%B8%89-%EC%B1%84%EC%9A%A9,"- Python 웹 프레임워크 경험 1년 이상

- 클라우드 플랫폼에 서버 배포 경험

- 다른팀과의 협업 및 의사소통에 문제 없으신분"
(주)위펀,,Backend Engineer,주니어 (1~3년),"['Java', 'Spring Boot', 'JPA', 'querydsl', 'REST API', 'Linux', 'AWS', 'MySQL', 'MariaDB']","성능 벤치마킹 및 최적화 경험
물류, ERP, CRM 도메인에 대한 이해 혹은 개발 경험
NodeJS 개발 경험
프로그래밍 언어 또는 프레임워크가 다른 레거시 프로젝트를 점진적으로 리팩터링 하여 전환한 경험
JUnit 을 활용한 유닛 테스트 작성 경험
AWS/GCP 등 Cloud 기반 Infra 혹은 서비스 운영 경험
CI/CD 파이프라인 구성 경험
AL/ML/DL 을 활용하여 서비스 품질을 개선한 경험
대용량 아키텍처 또는 데이터 파이프라인 설계/구축 경험
Microservice 아키텍처 기반의 서비스 개발 경험
Docker 또는 Kubernetes 등 Container 환경에서 개발 경험
Kubernetes Cluster 구축 또는 운영 경험
Kafka 또는 RabbitMQ 등 메세지 브로커 또는 큐를 활용한 개발 경험
Scrum(애자일 개발 프로세스) 프로젝트 수행 경험 또는 MVP(Minimum Viable Product) 개발 경험
반복적인 업무를 자동화하여 업무 효율을 개선한 경험",https://www.rallit.com/positions/1923/%EC%A3%BC-%EC%9C%84%ED%8E%80-backend-engineer,"3년 이상의 백엔드 개발 경험 또는 그에 준하는 역량을 보유하신 분
Java, Spring Boot를 이용한 개발 경험이 있으신 분
JPA, Querydsl 등 ORM 기술을 활용한 개발 경험이 있으신 분
MySQL/MariaDB 또는 하나 이상의 관계형 데이터베이스 활용 경험 있으신 분
RESTful API 설계 및 개발 경험
기본적인 Linux/Unix 명령어 활용 능력"
피나클 FINAKLE,,Backend Server 개발,주니어 (1~3년),"['Python', 'AWS', 'Docker', 'ec2', 'Redis', 'FastAPI', 'MySQL', 'Node.js', 'nginx', 'Kubernetes']","• 핀테크 경험이 있으신 분
• 블록체인 기술에 대한 이해와 응용경험이 있으신 분
• (남성의 경우) 병역의 의무를 마치신 분 또는 군면제자",https://www.rallit.com/positions/2112/backend-developer,"• 최소 2년 이상
• Python 기반 프레임워크 경험이 있으신 분 ( FastAPI, Flask, Django etc. )
• AWS를 활용한 배포경험이 있으신 분
• 다른 포지션과 협업 및 프로덕션 경험이 있으신 분
• 증권계좌 연동, 금융 공공API 연동, 금융기관등 외부 시스템 연동 및 사용 경험이 있으신 분"
주식회사 다이노즈,,다이노즈에서는 탁월한 팀원들과 함께 서로를 존중하며 즐겁게 일할 팀원을 찾고 있습니다.,경력무관,"['NestJS', 'Node.js', 'AWS']","- 커뮤니티, SNS 웹/앱 서비스 운영/구현 경험 보유
- Firebase 연동 경험 보유 (Auth, Storage, Dynamic links 등)
- 스타트업 경험자",https://www.rallit.com/positions/1115/%EC%9D%B8%EC%9E%AC%ED%92%80-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-nest-js-node-js,"- 기술 Stack : [BE] Nest.js (Node.js)
    - 참고 : [FE,Client] Flutter (+Firebase)
    - (DevOps) 기타 - AWS (RDS, Codepipeline, ElasticBeanstalk)
- API 설계 및 구현 경험"
(주)브리치,"서울 강남구 봉은사로18길 85 BM빌딩 L1 브리치 (역삼동,아트리아빌딩)",쇼핑몰 통합관리 솔루션 (SaaS) ' 비플로우 '와 함께 할 백엔드 & 프론트엔드 개발자 를 찾습니다!,미들 (4~8년),"['PHP', 'JavaScript', 'Python', 'Node.js', 'Spring Boot', 'AWS']","• 오픈소스 이용한 개발 경험 보유자
• Rest API 개발 유경험자
• 모바일/이커머스/o2o서비스에서 개발 경험
• 대용량 데이터 시스템 처리 및 운영 경험자
• 리눅스 플랫폼에서도 익숙하게 개발할 줄 아는 개발자
• AWS 시스템 관리 경험이 있는 분
• 사용자 통계 데이터 수집 및 분석 경험이 있는 분
• Unit Test 에 대한 이해도가 높으신 분",https://www.rallit.com/positions/506/%EB%B9%84%ED%94%8C%EB%A1%9C%EC%9A%B0-%EB%B0%B1%EC%97%94%EB%93%9C-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C%EC%9E%90,"• PHP 유경험자
• Modern PHP Programming, OOP에 대한 이해
• Backend 프레임워크 CodeIgniter, Laravel 등 유경험자
• Frontend 프레임워크 React JS, Vue JS, Angular JS 등 유경험자
• Git 이슈트래커 등 협업경험"
(주)레인포컴퍼니,,"레인포컴퍼니와 함께 기존 택시의 단점, 유상운송에 대한 문제를 해결 할 백엔드 개발자를 구합니다.",미들 (4~8년),"['JavaScript', 'TypeScript', 'NestJS', 'TypeORM', 'Git', 'AWS']","**우대사항은 그저 우대사항일 뿐입니다.**

- 24 / 365 서비스 개발 경험
- CI / CD 파이프라인 구축 경험
- AWS 클라우드 기반 인프라 구축 및 운영 경험
- 유지보수성 및 확장성을 고려한 코드 구현 경험
- 테스트 코드 작성 경험
- Spring 기반 백엔드 개발 2년 이상 혹은 그에 준하는 실력을 갖추신분

    → Java, SpringBoot, Mybatis, JPA 기반의 웹 어플리케이션 개발 경험",https://www.rallit.com/positions/1358/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,"**아래의 NestJS, Spring 기반 경험 중 하나만 해당 하시면 돼요!** 

- NestJS 기반 백엔드 개발 2년 이상 혹은 그에 준하는 실력을 갖추신분
    
    → TypeScript, NestJS, TypeORM 기반의 웹 어플리케이션 개발 경험
    
- API 시스템 설계 및 개발 경험
- RDBMS, NoSQL 사용한 테이블 설계 및 개발 경험
- Git을 사용한 형상 관리 경험
- 문제 해결에 대한 다양한 접근과 해결 방안에 대해 고민해본 경험
- 문서화를 습관처럼 하시는분
- 커뮤니케이션이 원활하고 코드 리뷰에 적극적이신분
- 개발자로서 성장에 대해 계속 고민하시는분"
